type,date,Alpha
val1,2015/06/15,20
val1,2015/06/16,90
val1,2015/06/17,115
val1,2015/06/18,143
val1,2015/06/19,120
val1,2015/06/20,155
val1,2015/06/21,185
val2,2015/06/15,12
val2,2015/06/16,21
val2,2015/06/17,27
val2,2015/06/18,12
val2,2015/06/19,30
val2,2015/06/20,18
val2,2015/06/21,28
val3,2015/06/15,110
val3,2015/06/16,95
val3,2015/06/17,102
val3,2015/06/18,90
val3,2015/06/19,105
val3,2015/06/20,95
val3,2015/06/21,108
val4,2015/06/15,11
val4,2015/06/16,29
val4,2015/06/17,18
val4,2015/06/18,47
val4,2015/06/19,76
val4,2015/06/20,56
val4,2015/06/21,85
